Violation_ID,Seller_ID,Violation_Date,Violation_Year,Violation_Type,Severity_Level,Violation_Status,Reported_Source,Affected_Order_Count,Penalty_Amount,Fraud_Linked_Flag,Action_Taken,Resolved_Flag
V00001,1,2021-09-19,2021,Policy Breach,High,Escalated,Compliance Team,12,1343.5,1,Payout Hold,0
V00002,1,2021-08-14,2021,Policy Breach,High,Escalated,User,9,2522.68,0,Seller Suspended,0
V00003,1,2022-11-08,2022,Fraud Suspicion,Critical,Open,Compliance Team,9,6847.81,1,Listing Removed,1
V00004,1,2022-06-11,2022,Fraud Suspicion,High,Under Investigation,System Detection,7,2174.09,1,Payout Hold,0
V00005,1,2022-10-14,2022,Fraud Suspicion,High,Escalated,Internal Audit,8,3712.51,1,Listing Removed,0
V00006,1,2022-03-17,2022,Fraud Suspicion,High,Under Investigation,Compliance Team,4,3750.0,1,Seller Suspended,0
V00007,1,2022-02-03,2022,Fraud Suspicion,Low,Under Investigation,Compliance Team,10,326.2,1,No Action,0
V00008,1,2022-12-05,2022,Policy Breach,High,Closed,Compliance Team,13,1581.49,1,Listing Removed,1
V00009,1,2023-05-22,2023,Late Fulfillment,Low,Under Investigation,Compliance Team,2,590.88,0,Warning Issued,1
V00010,1,2023-02-04,2023,Late Fulfillment,Low,Under Investigation,Compliance Team,3,506.77,0,Warning Issued,0
V00011,1,2024-07-03,2024,Late Fulfillment,Medium,Under Investigation,System Detection,5,1362.14,0,Listing Removed,0
V00012,1,2025-01-06,2025,Product Quality Issue,Critical,Under Investigation,Internal Audit,1,7972.04,1,Payout Hold,0
V00013,1,2025-05-04,2025,Fraud Suspicion,High,Under Investigation,User,3,3695.72,1,Listing Removed,0
V00014,1,2025-12-05,2025,Fraud Suspicion,High,Escalated,User,13,2654.49,1,Listing Removed,0
V00015,1,2025-09-13,2025,Late Fulfillment,Medium,Closed,System Detection,10,378.62,0,No Action,1
V00016,1,2025-03-26,2025,Fraud Suspicion,High,Under Investigation,User,6,2788.99,1,Payout Hold,0
V00017,2,2021-07-07,2021,Listing Misrepresentation,High,Open,Internal Audit,6,2534.07,1,Warning Issued,1
V00018,2,2021-11-17,2021,Counterfeit Risk,Medium,Closed,User,15,1071.19,1,Warning Issued,1
V00019,2,2021-02-01,2021,Counterfeit Risk,Medium,Closed,User,12,952.05,0,No Action,1
V00020,2,2021-09-07,2021,Fraud Suspicion,High,Closed,User,16,3046.4,1,Payout Hold,1
V00021,2,2021-04-07,2021,Fraud Suspicion,High,Open,Internal Audit,12,1357.78,1,Listing Removed,0
V00022,2,2021-04-19,2021,Fraud Suspicion,Low,Closed,User,19,277.06,1,Warning Issued,1
V00023,2,2022-09-17,2022,Counterfeit Risk,High,Open,System Detection,6,3407.54,0,Warning Issued,1
V00024,2,2022-07-03,2022,Product Quality Issue,Medium,Closed,Internal Audit,16,1120.57,0,Listing Removed,1
V00025,2,2022-02-27,2022,Listing Misrepresentation,High,Open,User,7,1031.19,0,Warning Issued,0
